APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests
oshoura/IslamAI,https://github.com/oshoura/IslamAI/tree/d39fad996040c1fe7917b330996620380b9028af,insufficient history management,/,Chat history is not included in the prompt (model is not aware of previous interactions),IC,"pages/index.tsx
pages/api/chat.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for querying.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query and observe the response.
6. Enter a follow-up query that relies on the context of the previous interaction.
7. Observe if the response demonstrates awareness of the previous interactions or if it treats each query as an isolated interaction.(similar to ""AttributeError: 'NoneType' object has no attribute 'extract_text'"")"
oshoura/IslamAI,https://github.com/oshoura/IslamAI/tree/d39fad996040c1fe7917b330996620380b9028af,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"pages/index.tsx
utils/cn.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
oshoura/IslamAI,https://github.com/oshoura/IslamAI/tree/d39fad996040c1fe7917b330996620380b9028af,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,utils/makechain.ts,"1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws,https://github.com/arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws/tree/5259ae39cd23892c3d0030b98ae99148fb5b7284,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,utils/makechain.ts,"1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws,https://github.com/arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws/tree/5259ae39cd23892c3d0030b98ae99148fb5b7284,insufficient history management,/,Chat history is not included in the prompt (model is not aware of previous interactions),IC,"pages/index.tsx
pages/api/chat.ts
utils/makechain.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document for querying.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query and observe the response.
6. Enter a follow-up query that relies on the context of the previous interaction.
7. Observe if the response demonstrates awareness of the previous interactions or if it treats each query as an isolated interaction.(similar to ""AttributeError: 'NoneType' object has no attribute 'extract_text'"")"
arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws,https://github.com/arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws/tree/5259ae39cd23892c3d0030b98ae99148fb5b7284,Missing LLM input format validation,/,This project can't accept images read from PDF. ,IC,"pages/index.tsx
utils/makechain.ts
utils/cn.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Upload a PDF document that contains images.
3. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Enter a query that references the images in the PDF.
6. Observe if the response fails to include or reference the images from the PDF, indicating that the project cannot process images read from PDF documents.(for example,OSError: [Errno 24] Too many open files)
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure."
arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws,https://github.com/arndvs/gpt4-langchain-ingest-api-data-private-chroma-aws/tree/5259ae39cd23892c3d0030b98ae99148fb5b7284,exceeding  LLM content limit,/,"PineconeError: Error, message length too large: found 5453452 bytes, the limit is: 4194304 bytes",IC,"config/chroma.ts
pages/api/chat.ts
scripts/ingest-chroma-via-api.ts","1. Set up GPT4 PDF Chatbot LangChain: Ensure the project is correctly set up in your local environment.
2. Configure Pinecone: Ensure Pinecone is properly set up and integrated.
3. Upload a large PDF document or dataset that could exceed typical message size limits.
4. Run the Chatbot: Execute `python app.py` or the relevant command to start the server.
5. Open the chat interface in the web UI.
6. Enter a query that processes the large PDF document or dataset.
7. Observe if a PineconeError occurs, specifically an error message indicating that the message length is too large, such as ""found 5453452 bytes, the limit is: 4194304 bytes."""
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm/tree/ebd3a62866e9e17b07a4a973b74329c0297fb78a,Unclear context in prompt,/,The LLM's answers sometimes contradict the truth or the content of the uploaded file,IC,"frontend/src/components/WorkspaceChat/ChatContainer/PromptInput/index.jsx
server/utils/AiProviders/groq/index.js
server/utils/helpers/chat/convertTo.js","1.In the the application, select a character to converse with.
2.Ask the character vague or ambiguous questions/overly complex or contradictory Information
like ""Explain what it is."" or ""If the sun were blue, what color would the moon be?"""
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm/tree/ebd3a62866e9e17b07a4a973b74329c0297fb78a,Missing LLM input format validation,/,The analysis of PPT documents needs optimization,IC,"server/utils/EmbeddingEngines/openAi/index.js
frontend/src/components/WorkspaceChat/ChatContainer/PromptInput/index.jsx",Upload the pptx file.
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm/tree/ebd3a62866e9e17b07a4a973b74329c0297fb78a,improper text embedding,/,User Query embeddings are being chunked per character when using LM Studio embedding models,"IC,TK","frontend/src/utils/paths.js
frontend/src/components/EmbeddingSelection/CohereOptions/index.jsx","1. Set up Anything-LLM: Ensure the project is correctly set up in your local environment.
2. Configure LM Studio Embedding Models: Ensure the LM Studio embedding models are properly integrated.
3. Run Anything-LLM: Execute `python app.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Enter a user query for embedding.
6. Observe the embedding process to check if the query embeddings are being chunked per character instead of by word or sentence.(for example,KeyError: 'API_KEY') 
7.Check Logs and Output: Review the application logs and console output for any additional error messages or stack traces that provide more details about the failure. Pay special attention to errors related to missing environment variables or incorrect configurations."
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm/tree/ebd3a62866e9e17b07a4a973b74329c0297fb78a,exceeding  LLM content limit,case1,"Azure OpenAI Embed API says: ""Too many inputs. The max number of inputs is 16.""",ST,"server/utils/helpers/tiktoken.js
collector/utils/tokenizer/index.js","1. Set up Anything-LLM: Ensure the project is correctly set up in your local environment.
2. Configure Azure OpenAI Embed API: Integrate the Azure OpenAI Embed API with the project.
3. Run Anything-LLM: Execute `python app.py` or the relevant command to start the server.
4. Open the query interface in the web UI.
5. Prepare a batch of inputs larger than 16.
6. Submit the batch of inputs to the Azure OpenAI Embed API.
7. Observe if an error occurs with the message ""Too many inputs. The max number of inputs is 16.""or ""IndexError: list index out of range"""
Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm/tree/ebd3a62866e9e17b07a4a973b74329c0297fb78a,,case2,OpenAI 400 Error on long(ish) chat history,ST,"server/utils/helpers/tiktoken.js
collector/utils/tokenizer/index.js","1. Set up Anything-LLM: Ensure the project is correctly set up in your local environment.
2. Configure OpenAI API: Ensure the OpenAI API is properly integrated.
3. Run Anything-LLM: Execute `python app.py` or the relevant command to start the server.
4. Open the chat interface in the web UI.
5. Engage in a chat session by entering multiple queries and responses to build a long chat history.
6. Observe if an OpenAI 400 Error occurs when the chat history becomes long, indicating the issue with handling extended chat sessions.(for example, FileNotFoundError: [Errno 2] No such file or directory: 'path/to/document')"
